epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
134,5386.87,0.03008,0.20543,0.86973,0.95132,0.93373,0.9789,0.9784,0.07234,0.18829,0.08477,0.0001222,0.0001222,0.0001222
135,5427.27,0.03036,0.2122,0.87034,0.94878,0.94182,0.97631,0.97542,0.07616,0.19647,0.08801,0.0001156,0.0001156,0.0001156
136,5467.79,0.02893,0.20263,0.86784,0.93772,0.9501,0.98021,0.97961,0.07217,0.22513,0.0865,0.000109,0.000109,0.000109
137,5508.17,0.02869,0.21034,0.8672,0.94546,0.93157,0.97876,0.97813,0.06401,0.19934,0.07861,0.0001024,0.0001024,0.0001024
138,5548.4,0.02881,0.21474,0.86505,0.94366,0.93397,0.97813,0.97783,0.06285,0.17771,0.07527,9.58e-05,9.58e-05,9.58e-05
139,5588.79,0.02854,0.21251,0.87041,0.91631,0.97358,0.98281,0.98231,0.05731,0.16358,0.07167,8.92e-05,8.92e-05,8.92e-05
140,5629.16,0.029,0.20309,0.87049,0.9493,0.935,0.98103,0.98052,0.06353,0.17272,0.07647,8.26e-05,8.26e-05,8.26e-05
141,5695.78,0.04218,0.12241,0.86203,0.94393,0.94881,0.97488,0.97458,0.08858,0.21998,0.0943,7.6e-05,7.6e-05,7.6e-05
142,5736.11,0.03191,0.06942,0.84949,0.95082,0.93661,0.97663,0.97551,0.08396,0.22593,0.08945,6.94e-05,6.94e-05,6.94e-05
143,5776.43,0.02947,0.05507,0.85329,0.9124,0.96747,0.97417,0.97329,0.07222,0.21942,0.07954,6.28e-05,6.28e-05,6.28e-05
144,5816.65,0.02805,0.05937,0.85497,0.94953,0.95425,0.97905,0.97865,0.07454,0.18171,0.08035,5.62e-05,5.62e-05,5.62e-05
145,5856.89,0.0265,0.05625,0.85015,0.93973,0.95534,0.97899,0.9786,0.07338,0.17804,0.07783,4.96e-05,4.96e-05,4.96e-05
146,5897.06,0.02685,0.05525,0.85839,0.95204,0.94793,0.97826,0.97801,0.06721,0.18228,0.07352,4.3e-05,4.3e-05,4.3e-05
147,5937.26,0.02684,0.05188,0.85173,0.93818,0.95692,0.97988,0.97963,0.06402,0.16968,0.07066,3.64e-05,3.64e-05,3.64e-05
148,5977.54,0.02517,0.05216,0.85512,0.94266,0.96518,0.98075,0.98051,0.06549,0.16351,0.07144,2.98e-05,2.98e-05,2.98e-05
149,6017.82,0.02579,0.05022,0.8482,0.94232,0.96529,0.98002,0.97979,0.06558,0.17128,0.07221,2.32e-05,2.32e-05,2.32e-05
150,6058.06,0.02336,0.04879,0.85078,0.93128,0.97179,0.98038,0.98015,0.06615,0.17036,0.07214,1.66e-05,1.66e-05,1.66e-05
